time,concentration_of_chlorophyll_in_water,chl
1988-11-07,2.0,
1988-12-07,2.8,
1989-01-04,0.7,
1989-02-02,1.1,
1989-04-05,3.7,
1989-05-18,25.7,
1989-06-14,4.7,
1989-07-12,4.7,
1989-08-17,13.9,
1989-09-13,16.8,
1989-10-11,4.0,
1989-11-16,4.5,
1989-12-13,3.7,
1990-01-08,1.7,
1990-04-02,12.4,
1990-05-07,18.0,
1990-06-18,1.2,
1990-07-16,8.6,
1990-08-13,12.1,
1990-09-17,17.0,
1990-10-15,4.64,
1990-11-12,5.8,
1991-01-14,0.84,
1991-02-25,1.28,
1991-03-12,21.2,
1991-04-10,10.6,
1991-05-13,27.0,
1991-06-10,8.1,
1991-07-08,19.7,
1991-08-06,15.6,
1991-09-04,6.24,
1991-10-07,3.16,
1991-11-21,1.7,
1991-12-17,0.84,
1992-01-16,0.9,
1992-02-14,1.0,
1992-03-18,10.6,
1992-04-13,15.6,
1992-04-27,13.0,
1992-05-11,11.1,
1992-05-27,21.0,
1992-06-10,18.0,
1992-06-26,18.0,
1992-07-09,5.78,
1992-07-27,9.5,
1992-08-10,9.2,
1992-08-24,8.0,
1992-09-07,6.1,
1992-09-22,7.6,
1992-10-06,6.44,
1992-11-09,5.54,
1992-12-07,1.64,
1993-02-03,1.6,
1993-03-08,5.56,
1993-04-05,13.3,
1993-04-19,43.5,
1993-05-03,54.9,
1993-05-17,16.9,
1993-06-02,3.64,
1993-06-14,17.3,
1993-06-29,29.9,
1993-07-14,15.6,
1993-07-28,3.66,
1993-08-16,12.2,
1993-08-26,17.1,
1993-09-13,13.5,
1993-09-27,4.92,
1993-10-11,8.4,
1993-11-15,5.98,
1993-12-13,2.96,
1994-01-24,1.38,
1994-03-08,2.7,
1994-04-06,12.4,
1994-04-20,35.5,
1994-05-04,10.8,
1994-05-24,40.2,
1994-06-07,5.58,
1994-06-20,4.34,
1994-07-05,23.8,
1994-07-18,12.3,
1994-08-03,13.0,
1994-08-16,5.34,
1994-09-14,2.6,
1994-11-21,1.28,
1994-12-12,0.38,
1995-01-13,4.68,
1995-02-09,2.74,
1995-03-13,3.24,
1995-04-10,20.3,
1995-05-09,32.0,
1995-06-07,18.8,
1995-07-12,11.4,
1995-08-07,13.2,
1995-09-05,1.88,
1995-10-04,5.12,
1995-11-07,4.8,
1995-12-04,2.92,
1996-01-16,1.54,
1996-04-01,65.3,
1996-04-15,58.6,
1996-05-01,29.1,
1996-05-13,48.0,
1996-05-28,12.4,
1996-06-10,18.0,
1996-06-25,2.02,
1996-07-09,5.3,
1996-07-25,12.0,
1996-08-08,13.5,
1996-08-26,14.3,
1996-09-09,15.0,
1996-09-23,18.0,
1996-10-21,2.74,
1996-11-19,2.22,
1996-12-19,3.5,
1997-01-30,5.76,
1997-02-18,2.08,
1997-03-19,4.34,
1997-04-03,3.56,
1997-04-17,7.68,
1997-05-06,26.9,
1997-05-21,10.48,
1997-06-03,19.72,
1997-06-16,6.16,
1997-06-30,4.86,
1997-07-16,20.16,
1997-07-29,15.52,
1997-08-14,11.4,
1997-08-28,9.3,
1997-09-06,,4.747997283935547
1997-09-15,3.74,
1997-09-16,,5.011709690093994
1997-09-19,,4.612192153930664
1997-09-20,,4.550353527069092
1997-09-21,,3.5014657974243164
1997-09-22,,5.897442817687987
1997-09-23,,3.556059598922729
1997-09-24,,3.1750621795654297
1997-09-25,,5.062240123748778
1997-09-26,,4.338447093963623
1997-09-27,,3.5574843883514404
1997-09-28,,3.7382907867431636
1997-09-29,4.48,3.7386012077331534
1997-09-30,,3.791432857513428
1997-10-01,,3.004382610321045
1997-10-02,,2.981323719024658
1997-10-03,,3.1478869915008545
1997-10-04,,3.202223062515259
1997-10-05,,3.7122552394866943
1997-10-06,,3.7073781490325928
1997-10-07,,3.909363269805908
1997-10-08,,3.398470163345337
1997-10-09,,3.1809098720550537
1997-10-10,,3.525458574295044
1997-10-11,,3.583640813827514
1997-10-12,,3.4391160011291504
1997-10-13,1.86,
1997-10-20,,5.1036105155944815
1997-10-21,,5.117729187011719
1997-10-22,,2.5605080127716064
1997-10-23,,2.5411899089813232
1997-10-24,,2.445572853088379
1997-10-25,,3.1545002460479736
1997-10-26,,4.109573841094972
1997-10-27,,4.1125097274780265
1997-10-28,,5.345743179321289
1997-10-29,,5.28019905090332
1997-10-30,,5.317737102508545
1997-10-31,,4.2309861183166495
1997-11-01,,3.959051132202149
1997-11-02,,3.872525930404663
1997-11-03,,4.1467695236206055
1997-11-04,,4.402277946472168
1997-11-05,,4.4017839431762695
1997-11-06,,4.322677135467528
1997-11-07,,3.4395542144775386
1997-11-08,,3.0713379383087163
1997-11-09,,2.1183326244354252
1997-11-10,2.78,2.342233896255493
1997-11-11,,2.3800957202911377
1997-11-12,,2.2311339378356934
1997-11-13,,2.553058385848999
1997-11-14,,2.550062656402588
1997-11-15,,2.347428798675537
1997-11-16,,2.0150063037872314
1997-11-17,,1.5500131845474243
1997-11-18,,1.5545238256454468
1997-11-19,,1.5527459383010864
1997-11-20,,1.5545740127563477
1997-11-21,,1.5529928207397459
1997-11-22,,1.5294653177261353
1997-11-23,,1.5300005674362185
1997-11-24,,1.5371567010879517
1997-11-25,,1.563322901725769
1997-11-26,,1.4919996261596682
1997-11-27,,1.5710036754608154
1997-11-28,,1.5904242992401123
1997-11-29,,1.695132851600647
1997-11-30,,1.6355721950531006
1997-12-01,,1.63030743598938
1997-12-02,,1.7080748081207275
1997-12-03,,1.6326509714126587
1997-12-04,,1.63298237323761
1997-12-05,,1.379710674285889
1997-12-06,,1.379710674285889
1997-12-07,,1.274774193763733
1997-12-08,,1.1676689386367798
1997-12-09,,1.2381761074066162
1997-12-10,,1.190003752708435
1997-12-11,,1.1761192083358765
1997-12-12,,1.1242061853408811
1997-12-13,,1.3937432765960691
1997-12-14,,1.3966662883758545
1997-12-16,,0.6589829921722412
1997-12-17,,0.6291002631187439
1997-12-18,,0.6627987623214722
1997-12-19,,0.6608694195747375
1997-12-20,,0.6730702519416809
1997-12-21,,0.6709002256393433
1997-12-22,,0.7354193925857544
1997-12-23,,0.6976262927055359
1997-12-24,,0.7324113845825195
1997-12-25,,0.8586718440055847
1997-12-26,,2.3750932216644287
1997-12-27,,2.962191104888916
1997-12-28,,2.9583194255828857
1997-12-29,,3.105243682861328
1997-12-30,,3.25128173828125
1997-12-31,,3.215460538864136
1998-01-01,,3.1285529136657715
1998-01-02,,3.326594114303589
1998-01-03,,3.711949348449707
1998-01-04,,3.8828961849212646
1998-01-05,,4.116218566894531
1998-01-06,,3.823082685470581
1998-01-07,,3.7968554496765137
1998-01-08,,3.9511196613311768
1998-01-09,,3.795027256011963
1998-01-10,,3.9719624519348153
1998-01-11,,4.727763652801514
1998-01-12,,4.727851867675781
1998-01-13,2.82,4.7349066734313965
1998-01-14,,4.715578556060791
1998-01-15,,4.737215518951416
1998-01-16,,4.642282009124756
1998-01-17,,3.377158164978028
1998-01-18,,3.1394104957580566
1998-01-19,,2.081684827804565
1998-01-20,,2.068793773651123
1998-01-21,,2.2309067249298096
1998-01-22,,2.0550098419189453
1998-01-23,,2.2045998573303223
1998-01-24,,2.675336599349976
1998-01-25,,2.8828303813934326
1998-01-26,,3.3120601177215576
1998-01-27,,3.4507815837860107
1998-01-28,,3.854066610336304
1998-01-29,,3.870091676712036
1998-01-30,,3.8694946765899663
1998-01-31,,3.921688556671143
1998-02-01,,3.903937339782715
1998-02-02,,2.348394632339477
1998-02-03,,2.2592430114746094
1998-02-04,,2.1714105606079097
1998-02-05,,2.575364112854004
1998-02-06,,2.2353663444519043
1998-02-07,,2.186753511428833
1998-02-08,,2.175919771194458
1998-02-09,4.16,3.0297663211822514
1998-02-10,,3.1060798168182373
1998-02-11,,3.2316014766693115
1998-02-12,,3.2163770198822017
1998-02-13,,3.2231960296630864
1998-02-14,,3.7373549938201904
1998-02-15,,3.752075910568237
1998-02-16,,1.4921445846557615
1998-02-17,,1.5324358940124512
1998-02-18,,1.6722860336303709
1998-02-19,,1.7247991561889648
1998-02-20,,2.269798994064331
1998-02-21,,2.3013253211975098
1998-02-22,,2.152172088623047
1998-02-23,,2.0537075996398926
1998-02-24,,2.575283527374268
1998-02-25,,2.588292360305786
1998-02-26,,1.6320741176605225
1998-02-27,,1.5621328353881836
1998-02-28,,1.840229034423828
1998-03-01,,1.9889832735061648
1998-03-02,,2.2406535148620605
1998-03-03,,2.295318365097046
1998-03-04,,4.995966911315918
1998-03-05,,4.937973499298097
1998-03-06,,4.974019527435303
1998-03-07,,3.4985523223876958
1998-03-08,,3.5052592754364014
1998-03-09,,3.8027966022491455
1998-03-10,7.68,3.8216841220855713
1998-03-11,,3.9455289840698238
1998-03-12,,3.1642391681671143
1998-03-13,,3.238455057144165
1998-03-14,,3.124529361724853
1998-03-15,,2.8742475509643555
1998-03-16,,2.844332218170166
1998-03-17,,3.450554370880127
1998-03-18,,3.350886583328247
1998-03-19,,3.3264880180358887
1998-03-20,,3.2940049171447754
1998-03-21,,3.216050863265991
1998-03-22,,3.038247346878052
1998-03-23,,3.0153450965881348
1998-03-24,,3.0741515159606934
1998-03-25,8.08,3.2267560958862305
1998-03-26,,3.139495372772217
1998-03-27,,4.3521270751953125
1998-03-28,,7.584451198577881
1998-03-29,,8.25309944152832
1998-03-30,,8.548844337463379
1998-03-31,,8.251582145690918
1998-04-01,,7.6536192893981925
1998-04-02,,7.616501331329347
1998-04-03,,7.424403667449951
1998-04-04,,7.216077327728271
1998-04-05,,5.853568077087402
1998-04-06,,5.020693302154541
1998-04-07,14.6,4.8864521980285645
1998-04-08,,5.565145015716553
1998-04-09,,8.537725448608397
1998-04-10,,8.191412925720215
1998-04-11,,8.234766960144043
1998-04-12,,9.293621063232422
1998-04-13,,9.22719955444336
1998-04-14,,9.187580108642578
1998-04-15,,9.302602767944336
1998-04-16,,8.801094055175781
1998-04-17,,8.466267585754395
1998-04-18,,8.829707145690918
1998-04-19,,7.457336902618407
1998-04-20,,11.484929084777832
1998-04-21,,16.712059020996097
1998-04-22,31.8,20.032251358032227
1998-04-23,,21.917953491210934
1998-04-24,,31.4188175201416
1998-04-25,,30.85503196716309
1998-04-26,,23.65798377990723
1998-04-27,,26.15068626403809
1998-04-28,,28.195037841796875
1998-04-29,,29.51840400695801
1998-04-30,,25.83979797363281
1998-05-01,,21.20176124572754
1998-05-02,,13.61599826812744
1998-05-03,,11.25427532196045
1998-05-04,,14.098981857299805
1998-05-05,,9.146079063415527
1998-05-06,19.0,8.094809532165527
1998-05-07,,8.395356178283691
1998-05-08,,25.57619857788086
1998-05-09,,13.428468704223633
1998-05-10,,19.379390716552734
1998-05-11,,19.723581314086914
1998-05-12,,14.049342155456545
1998-05-13,,16.755987167358402
1998-05-14,,30.58572578430176
1998-05-15,,7.329291343688965
1998-05-16,,22.307939529418945
1998-05-17,,9.724641799926758
1998-05-18,,19.298641204833984
1998-05-19,,29.133991241455078
1998-05-20,,29.21543884277344
1998-05-21,,25.0858154296875
1998-05-22,,23.04813575744629
1998-05-23,,10.422513008117676
1998-05-24,,7.345767021179199
1998-05-25,19.6,7.207706928253174
1998-05-26,,7.356388568878174
1998-05-27,,5.370942115783691
1998-05-28,,6.644951820373535
1998-05-29,,6.873129844665527
1998-05-30,,18.6466121673584
1998-05-31,,12.70248031616211
1998-06-01,,12.6781644821167
1998-06-02,,12.764802932739258
1998-06-03,,9.150548934936523
1998-06-04,6.24,8.480965614318848
1998-06-05,,8.467437744140625
1998-06-06,,22.433671951293945
1998-06-07,,17.929380416870114
1998-06-08,,15.059622764587402
1998-06-09,,11.871295928955078
1998-06-10,,6.720709800720215
1998-06-11,,6.390787124633789
1998-06-12,,5.627830505371094
1998-06-13,,5.3548851013183585
1998-06-14,,6.117575168609619
1998-06-15,,6.033401012420653
1998-06-16,,6.944861888885497
1998-06-17,,5.742076873779298
1998-06-18,23.8,7.570432662963867
1998-06-19,,16.584663391113278
1998-06-20,,15.269852638244627
1998-06-21,,16.699201583862305
1998-06-22,,16.190832138061527
1998-06-23,,14.691790580749512
1998-06-24,,14.61060619354248
1998-06-25,,8.144546508789062
1998-06-26,,4.331953525543213
1998-06-27,,8.001101493835451
1998-06-28,,8.828290939331055
1998-06-29,,8.866432189941406
1998-06-30,,9.290775299072266
1998-07-01,,29.66226005554199
1998-07-02,,29.6422119140625
1998-07-03,,29.711278915405273
1998-07-04,,29.71278953552246
1998-07-05,,29.412538528442386
1998-07-06,11.2,27.39181709289551
1998-07-07,,23.86860275268555
1998-07-08,,23.97738647460937
1998-07-09,,20.75141716003418
1998-07-11,,3.1458406448364262
1998-07-12,,3.0275349617004395
1998-07-13,,3.265119791030884
1998-07-14,,3.561031579971313
1998-07-15,,3.595541715621948
1998-07-16,6.84,4.97477388381958
1998-07-17,,5.072156429290772
1998-07-18,,4.729302883148193
1998-07-19,,11.380653381347654
1998-07-20,,6.553513050079347
1998-07-21,,6.540653705596924
1998-07-22,,7.859382629394531
1998-07-23,,6.878104209899902
1998-07-24,,12.36363410949707
1998-07-25,,13.895851135253904
1998-07-26,,13.9555082321167
1998-07-27,,13.972630500793455
1998-07-28,,9.808682441711426
1998-07-29,,9.705184936523438
1998-07-30,,9.82363510131836
1998-07-31,,6.864264488220215
1998-08-01,,5.0543479919433585
1998-08-02,,5.790453433990479
1998-08-03,5.5,7.556671142578125
1998-08-04,,8.045785903930664
1998-08-05,,8.483258247375487
1998-08-06,,18.7266845703125
1998-08-07,,17.58808708190918
1998-08-08,,20.70937156677246
1998-08-09,,8.893170356750488
1998-08-10,,9.65824031829834
1998-08-11,,7.507218360900879
1998-08-12,,8.920553207397461
1998-08-13,6.02,8.954303741455078
1998-08-14,,8.523326873779299
1998-08-15,,8.021347045898438
1998-08-16,,6.443828582763673
1998-08-17,,6.631990432739258
1998-08-18,,6.306801795959473
1998-08-19,,8.499395370483397
1998-08-20,,8.574553489685059
1998-08-21,,8.334499359130861
1998-08-22,,8.75230884552002
1998-08-23,,8.228609085083008
1998-08-24,,5.788773536682129
1998-08-25,,3.6608633995056152
1998-08-26,,3.616453647613525
1998-08-27,,3.734437704086304
1998-08-28,,3.651469230651856
1998-08-29,,3.642529010772705
1998-08-30,,3.669197797775269
1998-08-31,,12.2063570022583
1998-09-01,,12.206363677978516
1998-09-02,,11.978436470031738
1998-09-03,10.8,5.804024696350098
1998-09-04,,4.6123046875
1998-09-05,,4.59959602355957
1998-09-06,,4.1943769454956055
1998-09-07,,4.260531425476073
1998-09-08,,6.0322933197021475
1998-09-09,,6.387465476989746
1998-09-10,,6.687718868255615
1998-09-11,,5.636148929595947
1998-09-12,,7.115074634552003
1998-09-13,,9.189703941345217
1998-09-14,,6.180401802062987
1998-09-15,,6.151066780090332
1998-09-16,,4.597559928894043
1998-09-17,,4.498610496520996
1998-09-18,,4.373701095581056
1998-09-19,,4.39123010635376
1998-09-20,,4.295139789581299
1998-09-21,,5.555655002593994
1998-09-22,8.72,8.22258472442627
1998-09-23,,8.333334922790527
1998-09-24,,6.483643531799316
1998-09-25,,6.936796188354492
1998-09-26,,9.868796348571776
1998-09-27,,9.817117691040039
1998-09-28,,6.152607440948486
1998-09-29,,6.255838871002197
1998-09-30,,4.750926494598389
1998-10-01,10.2,5.971978187561035
1998-10-02,,5.8501243591308585
1998-10-03,,5.887756824493407
1998-10-04,,5.943246364593506
1998-10-05,,4.02489185333252
1998-10-06,,3.68545126914978
1998-10-07,,3.743884563446045
1998-10-08,,3.525207042694092
1998-10-09,,3.161574125289917
1998-10-10,,3.311533212661743
1998-10-11,,3.2196030616760254
1998-10-12,,3.343913078308105
1998-10-13,,3.657712697982788
1998-10-14,,4.624592781066895
1998-10-15,3.98,4.357239246368408
1998-10-16,,4.393319606781007
1998-10-17,,4.0677146911621085
1998-10-18,,3.833836793899536
1998-10-19,,3.664971590042114
1998-10-20,,4.259884834289552
1998-10-21,,4.260108470916748
1998-10-22,,4.323860168457031
1998-10-23,,4.392003536224365
1998-10-24,,4.24372148513794
1998-10-25,,4.031267166137694
1998-10-26,,3.355879783630371
1998-10-27,,3.4288926124572754
1998-10-28,,3.4387121200561523
1998-10-29,,3.9654581546783447
1998-10-30,,3.918199062347412
1998-10-31,,3.5286998748779297
1998-11-01,,2.2805922031402592
1998-11-02,,2.432446956634521
1998-11-03,2.54,2.6321189403533936
1998-11-04,,2.6716153621673584
1998-11-05,,2.7706472873687744
1998-11-06,,2.7070772647857666
1998-11-07,,2.8409788608551025
1998-11-08,,2.860834836959839
1998-11-09,,2.757498264312744
1998-11-10,,2.4506492614746094
1998-11-11,,3.0422122478485107
1998-11-12,,3.3863620758056636
1998-11-13,,3.272554636001587
1998-11-14,,3.2752492427825928
1998-11-15,,3.165297508239746
1998-11-18,5.0,
1998-11-22,,2.5540904998779297
1998-11-23,,1.8575719594955444
1998-11-24,,1.7813732624053955
1998-11-25,,1.774378538131714
1998-11-26,,1.728492259979248
1998-11-27,,1.7175142765045166
1998-11-28,,1.7084121704101562
1998-11-29,,1.6630128622055054
1998-11-30,,1.672665238380432
1998-12-01,,1.5644105672836304
1998-12-02,,1.6417387723922732
1998-12-03,,1.5731693506240845
1998-12-04,,1.6417659521102903
1998-12-05,,1.7105532884597778
1998-12-06,,1.634305715560913
1998-12-07,,1.64256489276886
1998-12-08,,1.538607478141785
1998-12-09,,1.629741072654724
1998-12-10,,1.627744197845459
1998-12-11,,1.6341391801834106
1998-12-12,,1.6341391801834106
1998-12-13,,1.7363191843032837
1998-12-14,,1.6564838886260986
1998-12-15,1.44,1.6655839681625366
1998-12-16,,1.5976603031158447
1998-12-18,,1.1483134031295776
1998-12-19,,1.0926203727722168
1998-12-20,,1.0941556692123413
1998-12-21,,1.0761947631835938
1998-12-22,,1.0731282234191897
1998-12-23,,1.070759654045105
1998-12-24,,1.0796643495559692
1998-12-25,,1.0299401283264158
1998-12-26,,2.0445213317871094
1998-12-27,,2.1642405986785893
1998-12-28,,2.225881099700928
1998-12-29,,2.3851332664489746
1998-12-30,,2.3711233139038086
1998-12-31,,2.5506250858306885
1999-01-01,,2.580470561981201
1999-01-02,,2.7958805561065674
1999-01-03,,2.792465686798096
1999-01-04,,2.843251943588257
1999-01-05,,2.8292636871337886
1999-01-06,,2.911924123764038
1999-01-07,,3.223374128341675
1999-01-08,,3.066360712051392
1999-01-09,,3.052525997161865
1999-01-10,,2.8101277351379395
1999-01-11,,2.4730255603790283
1999-01-12,,2.3884854316711426
1999-01-13,1.24,2.28775691986084
1999-01-14,,2.3760912418365483
1999-01-15,,2.32513165473938
1999-01-16,,2.3017735481262207
1999-01-17,,2.3681819438934326
1999-01-18,,2.163485288619995
1999-01-19,,2.146176815032959
1999-01-20,,2.2226710319519043
1999-01-21,,2.0946292877197266
1999-01-22,,2.1893782615661617
1999-01-23,,2.2643918991088867
1999-01-24,,2.2753076553344727
1999-01-27,,2.668511152267456
1999-01-28,,2.6379165649414062
1999-01-29,,3.4175624847412114
1999-01-30,,3.757834911346436
1999-01-31,,3.2041964530944824
1999-02-01,,3.2003188133239746
1999-02-02,,3.9003384113311768
1999-02-04,,3.589449405670166
1999-02-05,,3.171842336654663
1999-02-06,,3.0434000492095947
1999-02-07,,3.0491251945495605
1999-02-08,,3.283442974090576
1999-02-09,,2.111067533493042
1999-02-10,,2.1821215152740483
1999-02-11,2.22,2.6429243087768555
1999-02-12,,1.991454124450684
1999-02-13,,5.170331954956055
1999-02-14,,3.700973033905029
1999-02-15,,3.9752275943756095
1999-02-16,,3.0727934837341313
1999-02-17,,3.1573374271392822
1999-02-18,,3.1526517868041988
1999-02-19,,2.548840045928955
1999-02-20,,2.0425059795379643
1999-02-21,,1.8640538454055784
1999-02-22,,1.7515023946762085
1999-02-23,,1.7262732982635498
1999-02-24,,2.3903062343597408
1999-02-25,,2.387644052505493
1999-02-26,,2.429001808166504
1999-02-27,,2.5907113552093506
1999-02-28,,2.468153953552246
1999-03-01,,2.547205924987793
1999-03-02,,2.633547782897949
1999-03-03,,2.536629199981689
1999-03-04,2.44,2.3763556480407715
1999-03-05,,2.439795970916748
1999-03-06,,2.326854467391968
1999-03-07,,2.29599666595459
1999-03-08,,2.375222682952881
1999-03-09,,2.296714782714844
1999-03-10,,2.3455464839935303
1999-03-11,,2.4339215755462646
1999-03-12,,2.5791587829589844
1999-03-13,,3.892625093460083
1999-03-14,,3.5822954177856445
1999-03-15,,4.517674446105957
1999-03-16,,4.8311686515808105
1999-03-17,4.54,5.050581455230713
1999-03-18,,5.092012405395508
1999-03-19,,5.09169340133667
1999-03-20,,5.622926712036133
1999-03-21,,7.929844856262207
1999-03-22,,8.188304901123049
1999-03-23,,7.60772180557251
1999-03-24,,7.733701705932617
1999-03-25,,8.331591606140138
1999-03-26,,7.689352512359619
1999-03-27,,6.737173080444336
1999-03-28,,7.56121826171875
1999-03-29,,9.995017051696776
1999-03-30,15.0,9.994153022766113
1999-03-31,,7.230409145355225
1999-04-01,,9.347012519836426
1999-04-02,,15.151321411132812
1999-04-03,,15.948967933654785
1999-04-04,,18.069509506225586
1999-04-05,,10.376294136047363
1999-04-06,,8.481213569641112
1999-04-08,,14.800166130065918
1999-04-09,,15.62942600250244
1999-04-10,,13.64452838897705
1999-04-11,,13.615276336669922
1999-04-12,,10.073436737060547
1999-04-13,,8.916305541992188
1999-04-14,20.0,9.189574241638184
1999-04-15,,8.167393684387207
1999-04-16,,17.7861328125
1999-04-17,,17.435760498046875
1999-04-18,,14.048762321472168
1999-04-19,,18.823957443237305
1999-04-20,,17.20151710510254
1999-04-21,,19.042739868164066
1999-04-22,,18.27456283569336
1999-04-23,,16.923027038574222
1999-04-24,,11.298551559448242
1999-04-25,,15.12967586517334
1999-04-26,,13.834897994995115
1999-04-27,28.0,39.4039192199707
1999-04-28,,22.848331451416016
1999-04-29,,51.78962326049805
1999-04-30,,21.897506713867188
1999-05-01,,19.143009185791016
1999-05-02,,20.000240325927734
1999-05-03,,25.10079574584961
1999-05-04,,26.94096374511719
1999-05-05,,25.40917015075684
1999-05-06,,16.402891159057614
1999-05-07,,15.716353416442873
1999-05-08,,15.844623565673828
1999-05-09,,16.648796081542972
1999-05-10,,17.12077522277832
1999-05-11,5.92,16.663732528686527
1999-05-12,,10.017434120178224
1999-05-13,,8.280431747436522
1999-05-14,,8.812814712524414
1999-05-15,,8.148353576660156
1999-05-16,,10.277369499206543
1999-05-17,,12.415106773376465
1999-05-18,,16.052366256713867
1999-05-19,,11.500310897827148
1999-05-20,,6.940648555755615
1999-05-21,,5.991865634918213
1999-05-22,,6.867372035980225
1999-05-23,,5.367119312286377
1999-05-24,,7.390093803405763
1999-05-25,,8.373443603515625
1999-05-26,6.48,10.97059154510498
1999-05-27,,11.075601577758787
1999-05-28,,15.206672668457033
1999-05-29,,14.600748062133787
1999-05-30,,8.694192886352539
1999-05-31,,17.502485275268555
1999-06-01,,21.810932159423828
1999-06-02,,21.65803337097168
1999-06-03,,16.046125411987305
1999-06-04,,14.784531593322756
1999-06-05,,11.005348205566406
1999-06-06,,7.384049892425537
1999-06-07,,6.949800491333008
1999-06-08,,5.255980968475342
1999-06-09,13.4,5.540339469909668
1999-06-10,,4.814112186431885
1999-06-11,,3.9336013793945312
1999-06-12,,3.611480712890625
1999-06-13,,5.07389497756958
1999-06-14,,15.873892784118652
1999-06-15,,9.584939002990724
1999-06-16,,12.576897621154785
1999-06-17,,11.9271821975708
1999-06-19,,14.543150901794435
1999-06-20,,12.226336479187012
1999-06-21,,7.187297344207764
1999-06-22,,5.541182518005371
1999-06-23,,5.861560344696045
1999-06-24,3.82,10.284192085266113
1999-06-25,,24.354082107543945
1999-06-26,,6.626755714416504
1999-06-27,,6.626839637756348
1999-06-28,,7.6771202087402335
1999-06-29,,7.784222602844237
1999-06-30,,8.499236106872559
1999-07-01,,8.564877510070799
1999-07-02,,9.97364902496338
1999-07-03,,9.12063694000244
1999-07-04,,8.508646965026855
1999-07-05,,8.455498695373535
1999-07-06,,8.471962928771973
1999-07-07,,8.626655578613281
1999-07-08,,7.199885368347168
1999-07-09,,12.33283805847168
1999-07-10,,20.83034896850586
1999-07-11,,25.004886627197266
1999-07-12,,13.01887321472168
1999-07-13,,12.4434232711792
1999-07-14,,8.829643249511719
1999-07-15,,10.291988372802734
1999-07-16,,12.967848777770994
1999-07-17,,11.658714294433596
1999-07-18,,12.54680633544922
1999-07-19,,12.56536865234375
1999-07-20,,12.133134841918945
1999-07-21,,8.387293815612793
1999-07-22,,9.217105865478516
